"","НазваПС","substance","lat","lon","valueType","value"
"86","канал Дніпро-Донбас, 216 км, нижній б'єф   Краснопавлівського вдсх.","ФосфатІониМгДм3",49.1138,36.5014,"mean",0.10862962962963
"87","канал Дніпро-Донбас, 216 км, нижній б'єф   Краснопавлівського вдсх.","ХімічнеСпоживанняКиснюМгОДм3",49.1138,36.5014,"mean",16.7555555555556
"88","канал Дніпро-Донбас, 216 км, нижній б'єф   Краснопавлівського вдсх.","ХлоридІониМгДм3",49.1138,36.5014,"mean",77.9333333333333
"89","канал Дніпро-Донбас, 256 км, с. Грушеваха","АмонійІониМгДм3",49.1258,36.9035,"mean",0.477333333333333
"90","канал Дніпро-Донбас, 256 км, с. Грушеваха","АтразинМкгДм3",49.1258,36.9035,"mean",0
"91","канал Дніпро-Донбас, 256 км, с. Грушеваха","БСК5МгОДм3",49.1258,36.9035,"mean",3.91379310344828
"92","канал Дніпро-Донбас, 256 км, с. Грушеваха","ЗависліРечовиниМгДм3",49.1258,36.9035,"mean",16.4
"93","канал Дніпро-Донбас, 256 км, с. Грушеваха","КисеньРозчиненийМгО2Дм3",49.1258,36.9035,"mean",8.84103448275862
"94","канал Дніпро-Донбас, 256 км, с. Грушеваха","НітратІониМгДм3",49.1258,36.9035,"mean",1.28366666666667
"95","канал Дніпро-Донбас, 256 км, с. Грушеваха","НітритІониМгДм3",49.1258,36.9035,"mean",0.0791333333333333
"96","канал Дніпро-Донбас, 256 км, с. Грушеваха","ПерманганатнаОкислюваністьМгОДм3",49.1258,36.9035,"mean",8.4325
"97","канал Дніпро-Донбас, 256 км, с. Грушеваха","СинтетичніПоверхневоАктивніРечовиниМгДм3",49.1258,36.9035,"mean",0.0333666666666667
"98","канал Дніпро-Донбас, 256 км, с. Грушеваха","СульфатІониМгДм3",49.1258,36.9035,"mean",754.32
"99","канал Дніпро-Донбас, 256 км, с. Грушеваха","ФітопланктонТисКлітинДм3",49.1258,36.9035,"mean",21563.6666666667
